id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,cfo_quality_score,cfo_quality_label,capex_intensity_pct,capex_label,distress_flag,borrowings_x,deleveraging_flag,capital_allocation_label,borrowings_y,total_assets,free_cash_flow,previous_label
42,TCS,Mar-18,25067.0,3104.0,-26885.0,1286.0,100,Strong,12.38281405832369,Normal,NO,,NO,Stable,,,28171.0,Growth Investment
45,TCS,Mar-21,38802.0,-7956.0,-32634.0,-1788.0,100,Strong,20.50409772692129,Normal,NO,,NO,Growth Investment,,,30846.0,Stable
47,TCS,Mar-23,41965.0,548.0,-47878.0,-5365.0,100,Strong,1.305850113189563,Normal,NO,,NO,Stable,,,42513.0,Growth Investment
1111,TECHM,Mar 2014,1596.0,291.0,-972.0,915.0,100,Strong,18.23308270676692,Normal,NO,363.0,NO,Stable,363.0,15940.0,1887.0,Growth Investment
1112,TECHM,Mar 2015,2448.0,-1865.0,-829.0,-246.0,100,Strong,76.18464052287581,High,NO,700.0,NO,Growth Investment,700.0,19848.0,583.0,Stable
1117,TECHM,Mar 2020,4358.0,1081.0,-4466.0,974.0,100,Strong,24.80495640201927,Normal,NO,3670.0,NO,Stable,3670.0,37318.0,5439.0,Growth Investment
1118,TECHM,Mar 2021,8094.0,-5433.0,-2987.0,-326.0,100,Strong,67.12379540400296,High,NO,2901.0,NO,Growth Investment,2901.0,39602.0,2661.0,Stable
1119,TECHM,Mar 2022,5285.0,480.0,-4667.0,1098.0,100,Strong,9.082308420056764,Normal,NO,2618.0,NO,Stable,2618.0,44416.0,5765.0,Growth Investment
1120,TECHM,Mar 2023,5572.0,-226.0,-5078.0,267.0,100,Strong,4.055994256999282,Normal,NO,2740.0,NO,Growth Investment,2740.0,45827.0,5346.0,Stable
1123,TITAN,Mar 2014,-555.0,-271.0,497.0,-329.0,40,Weak,48.82882882882883,Normal,YES,807.0,NO,Financial Stress,807.0,6111.0,-826.0,Growth Investment
1124,TITAN,Mar 2015,503.0,-118.0,-1005.0,-620.0,100,Strong,23.45924453280318,Normal,NO,100.0,NO,Growth Investment,100.0,5868.0,385.0,Financial Stress
1127,TITAN,Mar 2018,-51.0,98.0,-252.0,-206.0,40,Weak,192.156862745098,High,YES,1691.0,NO,Stable,1691.0,9521.0,47.0,Growth Investment
1128,TITAN,Mar 2019,1243.0,-797.0,-489.0,-43.0,100,Strong,64.11906677393404,High,NO,2393.0,NO,Growth Investment,2393.0,11710.0,446.0,Stable
1129,TITAN,Mar 2020,-348.0,235.0,-242.0,-355.0,40,Weak,67.52873563218391,High,YES,3562.0,NO,Stable,3562.0,13544.0,-113.0,Growth Investment
1130,TITAN,Mar 2021,4139.0,-2799.0,-1234.0,106.0,100,Strong,67.62503020053153,High,NO,5638.0,NO,Growth Investment,5638.0,16444.0,1340.0,Stable
1131,TITAN,Mar 2022,-724.0,1165.0,-403.0,38.0,40,Weak,160.9116022099448,High,NO,7275.0,NO,Stable,7275.0,21188.0,441.0,Growth Investment
1132,TITAN,Mar 2023,1370.0,-1814.0,457.0,13.0,100,Strong,132.4087591240876,High,NO,9367.0,NO,Growth Investment,9367.0,27020.0,-444.0,Stable
1141,TORNTPHARM,Mar 2020,1393.0,229.0,-1549.0,73.0,100,Strong,16.43933955491745,Normal,NO,5784.0,NO,Stable,5784.0,14010.0,1622.0,Growth Investment
1142,TORNTPHARM,Mar 2021,2005.0,-444.0,-1651.0,-89.0,100,Strong,22.14463840399003,Normal,NO,4874.0,NO,Growth Investment,4874.0,14075.0,1561.0,Stable
1147,TRENT,Mar 2014,-46.0,-48.0,-50.0,-145.0,40,Weak,104.3478260869565,High,YES,332.0,NO,Stable,332.0,1936.0,-94.0,Growth Investment
1148,TRENT,Mar 2015,-10.0,-306.0,310.0,-6.0,40,Weak,3060.0,High,YES,267.0,NO,Financial Stress,267.0,2207.0,-316.0,Stable
1149,TRENT,Mar 2016,109.0,-98.0,-13.0,-2.0,100,Strong,89.90825688073394,High,NO,400.0,NO,Growth Investment,400.0,2157.0,11.0,Financial Stress
1154,TRENT,Mar 2021,285.0,18.0,-283.0,20.0,100,Strong,6.315789473684211,Normal,NO,300.0,NO,Stable,300.0,5724.0,303.0,Growth Investment
1156,TRENT,Mar 2023,595.0,-103.0,-491.0,1.0,100,Strong,17.3109243697479,Normal,NO,4464.0,NO,Growth Investment,4464.0,8082.0,492.0,Stable
1164,TVSMOTOR,Mar 2019,-918.0,-1104.0,2210.0,188.0,40,Weak,120.2614379084967,High,NO,9298.0,NO,Financial Stress,9298.0,16696.0,-2022.0,Growth Investment
1165,TVSMOTOR,Mar 2020,373.0,-1090.0,1619.0,902.0,100,Strong,292.2252010723861,High,NO,11591.0,NO,Growth Investment,11591.0,19272.0,-717.0,Financial Stress
1167,TVSMOTOR,Mar 2022,-1575.0,-1471.0,2918.0,532.0,40,Weak,93.3968253968254,High,NO,15827.0,NO,Financial Stress,15827.0,26919.0,-3046.0,Growth Investment
1175,ULTRACEMCO,Mar 2018,3888.0,1866.0,-5735.0,18.0,100,Strong,47.99382716049383,Normal,NO,19480.0,NO,Stable,19480.0,57141.0,5754.0,Growth Investment
1177,ULTRACEMCO,Mar 2020,8972.0,-4192.0,-5076.0,-295.0,100,Strong,46.72313865358894,Normal,NO,23019.0,NO,Growth Investment,23019.0,79214.0,4780.0,Stable
1179,ULTRACEMCO,Mar 2022,9283.0,2257.0,-12498.0,-958.0,100,Strong,24.31326079931057,Normal,NO,11299.0,NO,Stable,11299.0,83811.0,11540.0,Growth Investment
1180,ULTRACEMCO,Mar 2023,9069.0,-7188.0,-1631.0,250.0,100,Strong,79.2590142242805,High,NO,11058.0,NO,Growth Investment,11058.0,91380.0,1881.0,Stable
1183,UNIONBANK,Mar 2014,2570.0,-363.0,4902.0,7109.0,100,Strong,14.12451361867704,Normal,NO,327078.0,NO,Growth Investment,327078.0,355013.0,2207.0,Financial Stress
1184,UNIONBANK,Mar 2015,-3567.0,-318.0,3168.0,-718.0,40,Weak,8.915054667788057,Normal,YES,352618.0,NO,Financial Stress,352618.0,383566.0,-3885.0,Growth Investment
1185,UNIONBANK,Mar 2016,81.0,-9.0,-2.0,70.0,100,Strong,11.11111111111111,Normal,NO,374754.0,NO,Growth Investment,374754.0,407365.0,72.0,Financial Stress
1186,UNIONBANK,Mar 2017,-6624.0,-280.0,10194.0,3289.0,40,Weak,4.227053140096618,Normal,NO,418420.0,NO,Financial Stress,418420.0,455681.0,-6904.0,Growth Investment
1187,UNIONBANK,Mar 2018,6097.0,-315.0,10792.0,16574.0,100,Strong,5.166475315729048,Normal,NO,455969.0,NO,Growth Investment,455969.0,491120.0,5782.0,Financial Stress
1188,UNIONBANK,Mar 2019,-7778.0,-297.0,1758.0,-6317.0,40,Weak,3.818462329647724,Normal,YES,460780.0,NO,Financial Stress,460780.0,498581.0,-8075.0,Growth Investment
