id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,debt_to_equity,interest_coverage,asset_turnover,net_debt,high_leverage_flag,icr_label
363,CANBK,Mar 2016,44039,34263,17785.0,-8008.0,-18,5266,172,-2914,-13.0,-2535,-9.0,0.0,442,543.0,31867,506712,24603,563725,7206,0,152470,404049,563725,15.634433816723234,3.3773262438283327,0.07812142445341257,506712,True,Has Debt
364,CANBK,Mar 2017,41457,31540,15691.0,-5775.0,-14,7852,331,1746,29.0,1411,5.0,4.0,443,597.0,34088,534858,26615,596159,7185,0,162073,426901,596159,15.420441112873,1.9983443708609272,0.06954017300753658,534858,True,Has Debt
365,CANBK,Mar 2018,41345,29113,25582.0,-13350.0,-32,7398,456,-6408,-36.0,-3873,-11.0,0.0,444,733.0,36164,563756,30781,631435,8335,0,157444,465657,631435,15.279182589370409,3.457961611246283,0.06547784015773594,563756,True,Has Debt
366,CANBK,Mar 2019,47951,32339,27202.0,-11590.0,-24,9907,429,-2111,-99.0,696,2.0,0.0,445,753.0,36936,640166,33928,711783,8433,0,168678,534672,711783,16.98548648146674,2.74573533864944,0.06736744204343177,640166,True,Has Debt
367,CANBK,Mar 2020,49759,35817,26809.0,-12867.0,-26,11799,446,-1514,34.0,-1921,-4.0,0.0,446,1030.0,40176,668170,32064,741440,8323,0,192645,540472,741440,16.215356986846576,2.2721417069243155,0.0671112969356927,668170,True,Has Debt
368,CANBK,Mar 2021,70253,45182,43437.0,-18367.0,-26,23086,838,3882,30.0,2957,4.0,0.0,447,1647.0,60763,1060998,56132,1179540,11269,2,286191,882077,1179540,17.000448646050312,1.881529931560253,0.05955965885006019,1060998,True,Has Debt
369,CANBK,Mar 2022,70614,43035,41235.0,-13657.0,-19,23643,841,9145,37.0,6158,7.0,19.0,448,1814.0,68147,1132626,56202,1258789,11447,2,311347,935992,1258789,16.18939123225797,1.7440680116736456,0.056096772374083344,1132626,True,Has Debt
370,CANBK,Mar 2023,85885,52990,42772.0,-9877.0,-12,25325,1021,14427,25.0,11345,12.0,19.0,449,1814.0,76240,1237160,65816,1381030,10334,0,352893,1017803,1381030,15.850052527737208,1.6889239881539981,0.06218909075110606,1237160,True,Has Debt
371,CANBK,Mar 2024,110519,72118,46146.0,-7745.0,-7,28646,902,20000,26.0,15401,17.0,19.0,450,1814.0,90319,1369780,73104,1535018,12331,0,399207,1123480,1535018,14.867419925542423,1.6109055365496054,0.0719985042520674,1369780,True,Has Debt
373,CHOLAFIN,Mar 2013,2570,1410,688.0,472.0,18,1,22,452,32.0,308,4.0,16.0,451,143.0,1809,15269,1007,18228,73,0,172,17984,18228,7.822233606557377,688.0,0.14099188062321702,15269,True,Has Debt
