company_id,year,capital_allocation_label,cfo_quality_score,capex_intensity_pct,distress_flag
BEL,Mar 2023,Stable,100,225.8548790658883,NO
BEL,Mar 2024,Growth Investment,100,127.1517493024254,NO
BHARTIARTL,Mar 2013,Growth Investment,100,82.60792639773531,NO
BHARTIARTL,Mar 2014,Growth Investment,100,95.98978386002364,NO
BHARTIARTL,Mar 2015,Growth Investment,100,79.47895505898286,NO
BHARTIARTL,Mar 2016,Growth Investment,100,50.42946102641185,NO
BHARTIARTL,Mar 2017,Growth Investment,100,108.4865629420085,NO
BHARTIARTL,Mar 2018,Growth Investment,100,93.58879882092852,NO
BHARTIARTL,Mar 2019,Growth Investment,100,140.9367214748381,NO
BHARTIARTL,Mar 2020,Growth Investment,100,163.2632798279,NO
BHARTIARTL,Mar 2021,Growth Investment,100,56.60408671299658,NO
BHARTIARTL,Mar 2022,Growth Investment,100,75.39124270679972,NO
BHARTIARTL,Mar 2023,Growth Investment,100,60.0566398775354,NO
BHARTIARTL,Mar 2024,Growth Investment,100,64.75322568379427,NO
BHEL,Mar 2013,Growth Investment,100,63.27458783399658,NO
BHEL,Mar 2014,Growth Investment,100,19.23758865248227,NO
BHEL,Mar 2015,Stable,100,79.17174177831913,NO
BHEL,Mar 2016,Stable,100,6.149732620320856,NO
BHEL,Mar 2017,Growth Investment,100,100.8928571428571,NO
BHEL,Mar 2018,Stable,100,97.16885743174925,NO
BHEL,Mar 2019,Stable,40,49.71502590673575,YES
BHEL,Mar 2020,Financial Stress,40,64.90318118948825,NO
BHEL,Mar 2021,Growth Investment,100,7.5,NO
BHEL,Mar 2022,Growth Investment,100,169.3939393939394,NO
BHEL,Mar 2023,Financial Stress,40,199.7300944669366,NO
BHEL,Mar 2024,Financial Stress,40,35.84702396983571,NO
BOSCHLTD,Dec 2012,Growth Investment,100,94.60390355912745,NO
BOSCHLTD,Dec 2013,Growth Investment,100,80.03784295175024,NO
BOSCHLTD,Mar 2015,Growth Investment,100,84.74212034383955,NO
BOSCHLTD,Mar 2016,Growth Investment,100,75.49317147192717,NO
BOSCHLTD,Mar 2017,Stable,100,85.51818805765271,NO
BOSCHLTD,Mar 2018,Growth Investment,100,67.66917293233082,NO
BOSCHLTD,Mar 2019,Stable,100,297.8077571669477,NO
BOSCHLTD,Mar 2020,Growth Investment,100,65.34431137724552,NO
BOSCHLTD,Mar 2021,Growth Investment,100,55.44910179640718,NO
BOSCHLTD,Mar 2022,Growth Investment,100,12.17712177121771,NO
BOSCHLTD,Mar 2023,Stable,100,21.58154859967051,NO
BOSCHLTD,Mar 2024,Stable,100,22.58579409417398,NO
BPCL,Mar 2013,Growth Investment,100,60.81673979075261,NO
BPCL,Mar 2014,Growth Investment,100,71.76679182311221,NO
BPCL,Mar 2015,Growth Investment,100,50.79548741683541,NO
BPCL,Mar 2016,Growth Investment,100,83.03804298947746,NO
BPCL,Mar 2017,Growth Investment,100,168.9414887733658,NO
BPCL,Mar 2018,Growth Investment,100,63.84170581857608,NO
BPCL,Mar 2019,Growth Investment,100,102.89455547898,NO
BPCL,Mar 2020,Growth Investment,100,141.2891765004441,NO
BPCL,Mar 2021,Growth Investment,100,10.54785759965892,NO
BPCL,Mar 2022,Growth Investment,100,40.01770259638081,NO
BPCL,Mar 2023,Growth Investment,100,62.61832183539227,NO
BPCL,Mar 2024,Growth Investment,100,29.27704808548531,NO
BRITANNIA,Mar 2013,Stable,100,8.75,NO
BRITANNIA,Mar 2014,Growth Investment,100,36.66169895678092,NO
BRITANNIA,Mar 2015,Growth Investment,100,77.05479452054794,NO
BRITANNIA,Mar 2016,Growth Investment,100,73.5140771637122,NO
BRITANNIA,Mar 2017,Growth Investment,100,34.01360544217687,NO
BRITANNIA,Mar 2018,Growth Investment,100,76.62129703763011,NO
BRITANNIA,Mar 2019,Growth Investment,100,73.70242214532871,NO
BRITANNIA,Mar 2020,Growth Investment,100,102.7609427609428,NO
BRITANNIA,Mar 2021,Stable,100,23.08102345415778,NO
BRITANNIA,Mar 2022,Stable,100,70.3076923076923,NO
BRITANNIA,Mar 2023,Growth Investment,100,59.65954077593032,NO
BRITANNIA,Mar 2024,Stable,100,18.53867081228138,NO
CANBK,Mar 2013,Growth Investment,100,5.430711610486892,NO
CANBK,Mar 2014,Growth Investment,100,2.667789946644201,NO
CANBK,Mar 2015,Growth Investment,100,17.40226986128625,NO
CANBK,Mar 2016,Growth Investment,100,4.739995720094158,NO
CANBK,Mar 2017,Growth Investment,100,18.48543689320388,NO
CANBK,Mar 2018,Financial Stress,40,4.379496402877698,YES
CANBK,Mar 2019,Growth Investment,100,4.085101716291057,NO
CANBK,Mar 2020,Financial Stress,40,8.413688788050672,NO
CANBK,Mar 2021,Growth Investment,100,1.887749923881052,NO
CANBK,Mar 2022,Growth Investment,100,155.4951033732318,NO
CANBK,Mar 2023,Financial Stress,40,2.891590374706089,YES
CANBK,Mar 2024,Growth Investment,100,11.63099827196597,NO
CHOLAFIN,Mar 2013,Financial Stress,40,0.13319126265317,NO
CHOLAFIN,Mar 2014,Financial Stress,40,3.391908459337964,NO
CHOLAFIN,Mar 2015,Financial Stress,40,1.76678445229682,YES
CHOLAFIN,Mar 2016,Financial Stress,40,4.877180491278034,NO
CHOLAFIN,Mar 2017,Financial Stress,40,15.12261580381472,NO
CHOLAFIN,Mar 2018,Financial Stress,40,0.757002271006813,NO
CHOLAFIN,Mar 2019,Financial Stress,40,0.1180637544273908,NO
CHOLAFIN,Mar 2020,Financial Stress,40,2.602409638554217,NO
CHOLAFIN,Mar 2021,Financial Stress,40,19.73327305605786,YES
CHOLAFIN,Mar 2022,Financial Stress,40,29.4381619098905,NO
CHOLAFIN,Mar 2023,Financial Stress,40,7.924737133370227,YES
CHOLAFIN,Mar 2024,Financial Stress,40,8.001008883782193,YES
CIPLA,Mar 2013,Growth Investment,100,147.5679542203147,NO
CIPLA,Mar 2014,Growth Investment,100,80.93410108765195,NO
CIPLA,Mar 2015,Growth Investment,100,80.98891730605285,NO
CIPLA,Mar 2016,Growth Investment,100,260.3676048248133,NO
CIPLA,Mar 2017,Growth Investment,100,54.74391267842149,NO
CIPLA,Mar 2018,Growth Investment,100,57.00615174299385,NO
CIPLA,Mar 2019,Growth Investment,100,99.82259018332348,NO
CIPLA,Mar 2020,Stable,100,3.715775749674054,NO
CIPLA,Mar 2021,Growth Investment,100,63.22237017310253,NO
CIPLA,Mar 2022,Growth Investment,100,55.86289837642814,NO
CIPLA,Mar 2023,Growth Investment,100,73.3786287831995,NO
CIPLA,Mar 2024,Growth Investment,100,72.13352685050798,NO
COALINDIA,Mar 2013,Growth Investment,100,20.12295531891536,NO
COALINDIA,Mar 2014,Stable,100,59.07056798623064,NO
COALINDIA,Mar 2015,Stable,100,6.21610346266166,NO
COALINDIA,Mar 2016,Stable,100,61.98874866960621,NO
COALINDIA,Mar 2017,Stable,100,2.764109106372639,NO
COALINDIA,Mar 2018,Growth Investment,100,36.689557186834,NO
COALINDIA,Mar 2019,Growth Investment,100,48.27586206896552,NO
COALINDIA,Mar 2020,Stable,100,20.75547518585493,NO
COALINDIA,Mar 2021,Stable,100,1.718277945619335,NO
COALINDIA,Mar 2022,Growth Investment,100,62.55625562556255,NO
COALINDIA,Mar 2023,Growth Investment,100,65.66575250461744,NO
COALINDIA,Mar 2024,Growth Investment,100,24.78042313428714,NO
DABUR,Mar 2013,Growth Investment,100,71.49425287356321,NO
DABUR,Mar 2014,Growth Investment,100,9.47176684881603,NO
DABUR,Mar 2015,Growth Investment,100,83.66762177650429,NO
DABUR,Mar 2016,Growth Investment,100,61.49957877000843,NO
DABUR,Mar 2017,Growth Investment,100,65.77017114914425,NO
DABUR,Mar 2018,Growth Investment,100,49.54212454212454,NO
DABUR,Mar 2019,Stable,100,22.54836557705137,NO
DABUR,Mar 2020,Growth Investment,100,32.03221809169764,NO
DABUR,Mar 2021,Growth Investment,100,66.38297872340425,NO
DABUR,Mar 2022,Growth Investment,100,70.64372918978913,NO
DABUR,Mar 2023,Growth Investment,100,39.18010752688172,NO
DABUR,Mar 2024,Growth Investment,100,48.23646299056135,NO
DIVISLAB,Mar 2013,Growth Investment,100,53.125,NO
DIVISLAB,Mar 2014,Growth Investment,100,54.7576301615799,NO
DIVISLAB,Mar 2015,Growth Investment,100,63.07506053268766,NO
DIVISLAB,Mar 2016,Growth Investment,100,39.11368015414259,NO
DIVISLAB,Mar 2017,Growth Investment,100,99.1304347826087,NO
DIVISLAB,Mar 2018,Growth Investment,100,61.5979381443299,NO
DIVISLAB,Mar 2019,Growth Investment,100,71.80293501048219,NO
DIVISLAB,Mar 2020,Growth Investment,100,6.825657894736842,NO
DIVISLAB,Mar 2021,Stable,100,3.852080123266564,NO
DIVISLAB,Mar 2022,Growth Investment,100,114.8012552301255,NO
DIVISLAB,Mar 2023,Growth Investment,100,110.0854005693371,NO
DIVISLAB,Mar 2024,Growth Investment,100,21.33227597145123,NO
DLF,Mar 2013,Stable,100,99.30313588850174,NO
DLF,Mar 2014,Stable,100,267.3024523160763,NO
DLF,Mar 2015,Stable,100,4.810996563573884,NO
DLF,Mar 2016,Growth Investment,100,27.66317213391951,NO
DLF,Mar 2017,Financial Stress,40,97.10467706013362,NO
DLF,Mar 2018,Growth Investment,100,778.5185185185185,NO
DLF,Mar 2019,Stable,100,0.1468428781204112,NO
